location,celltype
6:53956144_53957137,gut
6:53986166_53986715,cardiomyocyte
6:8755584_8756390,endothelium
6:91784904_91785421,cardiomyocyte
6:99200472_99201101,cardiomyocyte
7:101390767_101391298,cardiomyocyte
7:112276764_112277267,cardiomyocyte
7:123209845_123210379,erythroid
7:16907580_16908152,endothelium
7:25056432_25056951,mesenchyme
7:43305187_43305695,cardiomyocyte
7:49088127_49088943,cardiomyocyte
7:50536668_50537225,endothelium
7:67011742_67012551,erythroid
7:71239164_71239675,somitic_mesoderm
7:74006827_74007607,cardiomyocyte
7:74531616_74532185,cardiomyocyte
7:79133314_79133929,cardiomyocyte
7:81700468_81701023,mesenchyme
7:81702491_81703012,somitic_mesoderm
7:96661451_96662360,cardiomyocyte
7:98419460_98420361,cardiomyocyte
7:98823775_98824281,erythroid
8:104610094_104610625,cardiomyocyte
8:111516509_111517028,erythroid
8:119588721_119589310,mid_hindbrain
8:127107794_127108298,erythroid
8:128371706_128372302,somitic_mesoderm
8:29539784_29540337,erythroid
8:33905635_33906157,cardiomyocyte
8:35446936_35447468,somitic_mesoderm
8:35576900_35577401,somitic_mesoderm
8:59194439_59194953,cardiomyocyte
8:62284620_62285244,erythroid
8:91987617_91988612,endothelium
8:93569578_93570085,cardiomyocyte
8:95596681_95597228,somitic_mesoderm
9:106318098_106318619,endothelium
9:23116259_23116792,gut
9:41978265_41978836,cardiomyocyte
9:43768676_43769231,endothelium
9:47778340_47778867,somitic_mesoderm
9:67170702_67171275,erythroid
9:71663545_71664067,neural_crest
9:71709216_71709717,erythroid
9:7718497_7719054,cardiomyocyte
9:86594132_86594934,cardiomyocyte
X:59220555_59221139,cardiomyocyte
1:100804972_100806060,somitic_mesoderm
1:135410945_135411447,endothelium
1:137073737_137074320,endothelium
1:137074660_137075179,endothelium
1:152461726_152462263,endothelium
1:152594656_152595204,endothelium
1:152798062_152798664,endothelium
1:164135191_164135908,endothelium
1:164993978_164994732,cardiomyocyte
1:165691458_165692011,endothelium
1:171171087_171171613,endothelium
1:176573613_176574207,erythroid
1:177470027_177470590,endothelium
1:177708387_177709245,endothelium
1:180277570_180278141,endothelium
1:180536634_180537237,endothelium
1:181454004_181454533,erythroid
1:189867469_189868406,spinalCord
1:191479970_191480483,endothelium
1:192061676_192062206,endothelium
1:192532133_192532660,endothelium
1:30850867_30851437,somitic_mesoderm
1:38499356_38499865,endothelium
1:39735476_39736776,endothelium
1:43413252_43413856,endothelium
1:55193207_55193816,endothelium
1:60862764_60863373,erythroid
1:61373663_61374207,endothelium
1:64970641_64971144,endothelium
1:73200109_73200614,erythroid
1:87626360_87626863,endothelium
1:87900875_87901424,endothelium
1:89054293_89054860,endothelium
10:105500413_105500915,endothelium
10:110353468_110354017,endothelium
10:111093955_111094839,endothelium
10:115777974_115778542,gut
10:120576783_120577343,endothelium
10:121971571_121972172,endothelium
10:122855073_122855617,somitic_mesoderm
10:122932942_122933532,endothelium
10:14168127_14168689,endothelium
10:14476063_14477160,neural_crest
10:18430083_18430655,endothelium
10:35452126_35452635,endothelium
10:37837612_37838241,endothelium
10:38880717_38881219,endothelium
10:4079672_4080380,endothelium
10:42521548_42522050,spinalCord
10:44555190_44555771,endothelium
10:45618951_45619505,somitic_mesoderm
10:52309128_52309738,endothelium
10:53461192_53461799,endothelium
10:54117720_54118235,endothelium
10:5591947_5592552,spinalCord
10:59577718_59578260,endothelium
10:61365770_61366276,somitic_mesoderm
10:61928725_61929655,endothelium
10:62217191_62217695,endothelium
10:75446276_75447144,endothelium
10:77215610_77216118,endothelium
10:77221017_77221660,endothelium
10:8070381_8070882,endothelium
10:87758999_87759530,endothelium
10:91138234_91138740,endothelium
10:91299744_91300822,endothelium
10:91341953_91342496,endothelium
10:93094880_93095901,endothelium
10:93298051_93298736,endothelium
10:93391223_93391742,endothelium
10:94565663_94566176,endothelium
10:99410646_99411212,somitic_mesoderm
11:106135112_106135644,endothelium
11:110942236_110943272,endothelium
11:117316740_117317349,endothelium
11:117319757_117320312,erythroid
11:120218921_120219456,gut
11:19827925_19828435,endothelium
11:22584351_22584852,cardiomyocyte
11:30166140_30166647,endothelium
11:30291016_30291695,somitic_mesoderm
11:32619301_32619832,endothelium
11:3418603_3419144,endothelium
11:3573093_3573619,endothelium
11:44892772_44893313,erythroid
11:49618389_49618892,cardiomyocyte
11:51472919_51473535,mesenchyme
11:55405568_55406078,endothelium
11:59885019_59885703,endothelium
11:60268511_60269012,endothelium
11:76893480_76893981,gut
11:77409808_77410347,gut
11:79003030_79003531,gut
11:80715104_80715613,endothelium
11:89028807_89029401,endothelium
11:94386043_94386654,endothelium
11:95688251_95688964,endothelium
11:96410406_96410924,gut
11:96468211_96468816,endothelium
12:102319036_102320378,endothelium
12:109971379_109971930,endothelium
12:111461441_111461992,endothelium
12:112184037_112185034,neural_crest
12:117450021_117450602,gut
12:117479568_117480161,endothelium
12:117663614_117664127,endothelium
12:117751022_117751931,somitic_mesoderm
12:117755979_117756520,endothelium
12:17440200_17440731,endothelium
12:21135842_21136418,endothelium
12:32127755_32128348,spinalCord
12:38928904_38929479,endothelium
12:44928295_44928978,cardiomyocyte
12:66675312_66676002,endothelium
12:69751658_69752433,endothelium
12:73574649_73575196,endothelium
12:75854908_75855549,erythroid
12:79838098_79838644,neural_crest
12:81689049_81689995,endothelium
12:82225707_82227092,gut
12:8344785_8345518,endothelium
12:84958797_84959358,endothelium
12:86513412_86513944,endothelium
12:86687909_86688495,endothelium
12:94190638_94191266,spinalCord
12:94744380_94744895,endothelium
12:99576661_99577235,endothelium
13:100575860_100576424,endothelium
13:101658998_101659527,endothelium
13:107676326_107677152,endothelium
13:109239190_109239756,endothelium
13:110534313_110534934,endothelium
13:115021308_115021836,gut
13:12475063_12475936,endothelium
13:20174128_20174953,endothelium
13:26356926_26357431,neural_crest
13:28718248_28718971,endothelium
13:28931152_28931770,somitic_mesoderm
13:42565126_42565637,endothelium
13:43193097_43193720,erythroid
13:52085094_52085743,endothelium
13:52222889_52223472,somitic_mesoderm
13:5592409_5592959,endothelium
13:56647816_56648391,endothelium
13:60644549_60645057,endothelium
13:62879780_62880691,endothelium
13:77991362_77992431,endothelium
13:89398249_89399236,endothelium
13:9026886_9027907,endothelium
13:91702274_91702833,endothelium
13:98810008_98810557,endothelium
14:105767035_105767560,endothelium
14:120544393_120544966,endothelium
14:12099682_12100486,endothelium
14:121702500_121703050,endothelium
14:20106072_20106745,gut
14:31909273_31909847,endothelium
14:34303101_34303633,endothelium
14:48202233_48202766,cardiomyocyte
14:48421883_48422455,endothelium
14:59554880_59555393,endothelium
14:64098944_64099641,endothelium
14:69089028_69089539,endothelium
14:69135772_69136314,endothelium
14:76912491_76913111,endothelium
14:7873418_7873983,endothelium
15:100673453_100674521,somitic_mesoderm
15:12225065_12225573,somitic_mesoderm
15:28105888_28106389,endothelium
15:36427474_36428167,neural_crest
15:36454963_36455493,endothelium
15:38302053_38302804,endothelium
15:41612195_41612703,endothelium
15:55844572_55845200,endothelium
15:59089685_59090213,endothelium
15:61517100_61517742,endothelium
15:64373142_64373660,endothelium
15:73446882_73447409,endothelium
15:77343379_77343950,endothelium
15:77797953_77798454,endothelium
15:91703075_91703677,endothelium
15:97033385_97034021,somitic_mesoderm
15:99448721_99449831,endothelium
16:10689827_10690378,endothelium
16:10905611_10906244,endothelium
16:11078401_11079052,endothelium
16:12013081_12013582,endothelium
16:12020302_12020872,endothelium
16:13232778_13233281,neural_crest
16:16907683_16908240,endothelium
16:19979792_19980309,endothelium
16:21590714_21591315,endothelium
16:25049942_25050550,endothelium
16:30655762_30656321,mid_hindbrain
16:30769007_30769632,endothelium
16:31066214_31066790,erythroid
16:37893889_37894390,endothelium
16:42456533_42457034,endothelium
16:42676616_42677124,endothelium
16:4436595_4437354,endothelium
16:57856547_57857050,endothelium
16:58481009_58481621,endothelium
16:69796225_69796758,endothelium
16:76226374_76226901,endothelium
16:86252540_86253087,endothelium
16:89830121_89830623,endothelium
16:89835509_89836016,endothelium
16:92883634_92884359,cardiomyocyte
16:95321712_95322465,endothelium
16:95449278_95449781,endothelium
17:15152883_15153414,somitic_mesoderm
17:26595292_26595826,endothelium
17:27935028_27935570,endothelium
17:28014915_28015666,endothelium
17:30196835_30197404,endothelium
17:31223863_31224400,endothelium
17:3149442_3150063,spinalCord
17:31905805_31906336,endothelium
17:35870010_35870668,endothelium
17:43327696_43328463,mesenchyme
17:43357869_43358728,endothelium
17:43366445_43366958,somitic_mesoderm
17:4712722_4713294,endothelium
17:47813572_47814097,endothelium
17:50763353_50763897,cardiomyocyte
17:50993556_50994084,endothelium
17:51258107_51258809,endothelium
17:56169797_56170302,endothelium
17:64397327_64397900,mid_hindbrain
17:66322907_66323463,somitic_mesoderm
17:67514455_67515295,endothelium
17:67520697_67521325,endothelium
17:70488470_70489442,endothelium
17:73102449_73102990,endothelium
17:75073852_75074389,endothelium
17:83074741_83075343,spinalCord
17:83246064_83246566,gut
17:83397522_83398095,endothelium
17:87513742_87514311,endothelium
18:13530632_13531173,endothelium
18:13848431_13849017,endothelium
18:13911407_13911952,erythroid
18:24095144_24095722,erythroid
18:35838514_35839145,endothelium
18:37999330_37999831,endothelium
18:47218941_47220014,endothelium
18:49550836_49551346,endothelium
18:5125277_5125838,endothelium
18:52749713_52750295,endothelium
18:55202833_55204121,endothelium
18:5536714_5537231,endothelium
18:55389655_55390450,endothelium
18:60896831_60897399,endothelium
18:61632276_61632855,endothelium
18:61767754_61768260,endothelium
18:62046832_62047371,endothelium
18:68139609_68140170,endothelium
18:71646847_71647384,endothelium
18:83740457_83740959,endothelium
19:14347330_14347935,endothelium
19:25360649_25361150,endothelium
19:27149560_27150061,endothelium
19:30371864_30372365,endothelium
19:34503042_34503595,erythroid
19:34844723_34845224,erythroid
19:3687663_3688348,endothelium
19:37481580_37482179,endothelium
19:37561231_37562182,endothelium
19:37918396_37919097,endothelium
19:40249277_40249808,endothelium
19:40536469_40536971,erythroid
19:41030942_41031499,endothelium
19:41031832_41032335,endothelium
19:42018687_42019694,endothelium
19:47510564_47511173,endothelium
19:58855514_58856017,endothelium
19:7400594_7401097,endothelium
2:102916539_102917086,somitic_mesoderm
2:103896083_103896678,endothelium
2:103901410_103901923,endothelium
2:112374552_112375111,endothelium
2:11429490_11430015,endothelium
2:116942421_116943369,endothelium
2:118491389_118491932,endothelium
2:118782227_118782776,cardiomyocyte
2:124704874_124705429,endothelium
2:124848697_124849234,endothelium
2:127328338_127328871,endothelium
2:131612397_131613024,erythroid
2:131980825_131981363,endothelium
2:13329715_13330264,endothelium
2:13391056_13391610,endothelium
2:139835526_139836112,endothelium
2:14165508_14166107,endothelium
2:148478240_148478813,endothelium
2:148856759_148857260,endothelium
2:152785633_152786217,gut
2:160742073_160742616,endothelium
2:166251354_166251868,endothelium
2:168254588_168255260,cardiomyocyte
2:172643783_172644333,cardiomyocyte
2:17363644_17364893,endothelium
2:18943825_18944358,endothelium
2:20488993_20489562,cardiomyocyte
2:26578363_26578868,endothelium
2:26593857_26594615,neural_crest
2:29944625_29945194,endothelium
2:30242452_30242997,endothelium
2:30258461_30259013,cardiomyocyte
2:32637677_32638179,neural_crest
2:33870232_33871225,endothelium
2:36032775_36033324,endothelium
2:36035659_36036184,somitic_mesoderm
2:38533170_38533712,cardiomyocyte
2:4570516_4571017,endothelium
2:60901303_60901860,endothelium
2:71643829_71644674,cardiomyocyte
2:71661326_71661900,endothelium
2:71779443_71780005,endothelium
2:72069920_72070543,somitic_mesoderm
2:72117408_72117953,endothelium
2:84051736_84052495,erythroid
2:85150366_85150957,cardiomyocyte
2:85281041_85281549,somitic_mesoderm
2:92617842_92618384,endothelium
2:93214091_93214648,neural_crest
2:93303251_93304131,cardiomyocyte
3:102755871_102756372,endothelium
3:104431580_104432162,neural_crest
3:104794368_104794963,endothelium
3:105023378_105023904,cardiomyocyte
3:107514243_107514772,mesenchyme
3:108886007_108886617,endothelium
3:116864994_116865613,endothelium
3:122077842_122078869,spinalCord
3:122590455_122591034,endothelium
3:126609502_126610426,somitic_mesoderm
3:133623328_133623861,endothelium
3:137150332_137150839,endothelium
3:148762397_148763170,endothelium
3:148790538_148791039,endothelium
3:148806889_148807424,endothelium
3:148867559_148868094,endothelium
3:151383503_151384090,spinalCord
3:152171198_152171703,spinalCord
3:153394213_153395206,spinalCord
3:154252193_154252697,spinalCord
3:154692072_154692721,spinalCord
3:27453580_27454202,spinalCord
3:30245880_30246513,endothelium
3:30354000_30354633,endothelium
3:36277866_36278449,endothelium
3:38275296_38275803,endothelium
3:38283312_38284262,somitic_mesoderm
3:39295159_39295668,endothelium
3:52640477_52641194,endothelium
3:52955377_52956070,endothelium
3:57544115_57544740,endothelium
3:58162117_58162618,cardiomyocyte
3:60574024_60574720,endothelium
3:80800233_80800790,endothelium
3:83706668_83707249,endothelium
3:87117572_87118131,endothelium
3:87765008_87765527,endothelium
3:88603569_88604191,endothelium
3:9983848_9984352,endothelium
4:101192201_101192702,endothelium
4:102635855_102636469,spinalCord
4:105223706_105224297,spinalCord
4:115075424_115076009,spinalCord
4:115642747_115643731,forebrain
4:115709074_115709575,neural_crest
4:118000154_118000737,endothelium
4:120198991_120199715,endothelium
4:123633072_123634010,endothelium
4:124705022_124705529,endothelium
4:126130388_126130907,endothelium
4:127263756_127264298,endothelium
4:133729484_133730296,somitic_mesoderm
4:134778927_134779690,endothelium
4:135876512_135877155,endothelium
4:136652844_136653432,endothelium
4:137920021_137920959,endothelium
4:139598943_139599699,endothelium
4:144898155_144898707,endothelium
4:144906417_144907296,mesenchyme
4:22278987_22279601,endothelium
4:32291346_32292050,endothelium
4:32306142_32307088,endothelium
4:32358642_32359281,endothelium
4:47139265_47139857,endothelium
4:53187025_53187561,endothelium
4:55042555_55043057,endothelium
4:56648998_56649499,endothelium
4:62732819_62733328,neural_crest
4:81178082_81178653,endothelium
4:89123764_89124361,endothelium
4:94683108_94683997,endothelium
4:97673829_97674330,endothelium
5:107023905_107024458,endothelium
5:107081140_107081692,erythroid
5:110479076_110479620,endothelium
5:112298500_112299107,neural_crest
5:112907992_112908842,cardiomyocyte
5:115529343_115530889,endothelium
5:115572971_115573659,endothelium
5:120563465_120564024,endothelium
5:124213525_124214030,neural_crest
5:124266797_124267305,endothelium
5:124633292_124633871,endothelium
5:128541990_128542699,endothelium
5:134342465_134342970,spinalCord
5:136458342_136459073,endothelium
5:140767600_140768147,somitic_mesoderm
5:142881015_142881525,neural_crest
5:142945175_142945773,endothelium
5:147721369_147721870,endothelium
5:147751553_147752333,forebrain
5:147825341_147826102,endothelium
5:147826459_147827067,endothelium
5:148818233_148819140,somitic_mesoderm
5:149245866_149246495,endothelium
5:29893725_29894281,endothelium
5:36089155_36089656,endothelium
5:3670018_3670823,endothelium
5:38817886_38818535,endothelium
5:44759139_44759640,endothelium
5:45292281_45292796,somitic_mesoderm
5:5698603_5699120,endothelium
5:64985866_64986368,endothelium
5:66559545_66560149,endothelium
5:75761702_75762525,endothelium
5:75826246_75826751,endothelium
5:75933438_75934061,endothelium
5:76013708_76014241,endothelium
5:76067201_76067746,endothelium
5:93030929_93031474,cardiomyocyte
5:99669868_99670457,neural_crest
6:108236232_108236773,erythroid
6:112402036_112402584,endothelium
6:114818372_114818965,endothelium
6:115768126_115768657,endothelium
6:133701356_133702177,endothelium
6:133997880_133998409,somitic_mesoderm
6:134186162_134186836,endothelium
6:147161832_147162465,somitic_mesoderm
6:24571121_24571717,endothelium
6:28497780_28498314,endothelium
6:32460376_32461018,endothelium
6:32570402_32570955,endothelium
6:37431326_37431877,endothelium
6:51633441_51634010,endothelium
6:5167234_5167737,endothelium
6:52479098_52479651,endothelium
6:61430912_61431616,endothelium
6:73072042_73072781,gut
6:84053679_84054214,endothelium
6:86479094_86479910,somitic_mesoderm
6:87727765_87728792,cardiomyocyte
6:90678659_90679171,endothelium
6:90941097_90941666,erythroid
6:92988212_92988767,endothelium
6:93273868_93274843,somitic_mesoderm
7:100137024_100137547,endothelium
7:101041826_101042454,somitic_mesoderm
7:105227960_105228521,endothelium
7:110208789_110209290,endothelium
7:112717517_112718198,endothelium
7:115615556_115616058,neural_crest
7:118922284_118922798,endothelium
7:121697126_121698011,endothelium
7:122631430_122632312,endothelium
7:122820750_122821469,endothelium
7:123338193_123338861,endothelium
7:125471850_125472490,erythroid
7:125503347_125503974,endothelium
7:132338316_132338889,endothelium
7:134240552_134241053,endothelium
7:134242482_134243301,endothelium
7:134261080_134261889,endothelium
7:144996802_144997303,endothelium
7:25707958_25708464,neural_crest
7:28381812_28382400,endothelium
7:29457725_29458296,neural_crest
7:45004496_45005014,endothelium
7:67211860_67212569,spinalCord
7:6879587_6880223,endothelium
7:71500742_71501276,endothelium
7:82690942_82691575,endothelium
7:83810224_83810801,cardiomyocyte
7:90023001_90023586,endothelium
7:92950696_92951309,endothelium
7:98482669_98483229,endothelium
8:104095590_104096110,neural_crest
8:104096623_104097125,spinalCord
8:10910089_10910696,endothelium
8:111595478_111596493,cardiomyocyte
8:111658768_111659269,endothelium
8:111735070_111735863,endothelium
8:111801475_111801988,endothelium
8:114261996_114262989,cardiomyocyte
8:119425477_119426110,mesenchyme
8:122517421_122517972,spinalCord
8:122665062_122665570,erythroid
8:12386854_12387414,endothelium
8:125066783_125067586,endothelium
8:125314511_125315071,endothelium
8:13699222_13699819,erythroid
8:24365871_24366406,somitic_mesoderm
8:27133901_27134458,somitic_mesoderm
8:29789011_29789616,endothelium
8:34814432_34815024,endothelium
8:36745965_36746513,endothelium
8:3711676_3712178,cardiomyocyte
8:54445794_54446699,cardiomyocyte
8:61258711_61259305,endothelium
8:61615861_61616753,erythroid
8:67713016_67713551,endothelium
8:71528627_71529145,endothelium
8:72131094_72131603,cardiomyocyte
8:72295561_72296152,endothelium
8:8623286_8624195,endothelium
8:86801812_86802436,cardiomyocyte
8:8801601_8802331,endothelium
8:90822348_90822963,endothelium
8:91818684_91819310,spinalCord
9:102777642_102778263,somitic_mesoderm
9:103660440_103661011,endothelium
9:116228490_116228993,endothelium
9:117373299_117373856,endothelium
9:122022766_122023315,endothelium
9:123931576_123932085,endothelium
9:21352325_21352867,endothelium
9:21729307_21729824,cardiomyocyte
9:21846645_21847198,neural_crest
9:27109376_27109940,endothelium
9:31253233_31253740,endothelium
9:32582044_32582557,endothelium
9:32618701_32619238,endothelium
9:37537491_37538195,endothelium
9:41084295_41084860,endothelium
9:43098779_43099327,endothelium
9:43504230_43505000,endothelium
9:44129900_44130528,erythroid
9:45251217_45251726,somitic_mesoderm
9:46175685_46176750,endothelium
9:46257546_46258048,endothelium
9:52027107_52027699,endothelium
9:5270815_5271735,endothelium
9:56520700_56521277,spinalCord
9:57278129_57278729,endothelium
9:58548885_58549396,endothelium
9:59551335_59552245,endothelium
9:60279298_60280015,erythroid
9:67874774_67875285,endothelium
9:70891347_70891928,endothelium
9:70977365_70977927,endothelium
9:71606424_71607127,endothelium
9:71654573_71655124,erythroid
9:71710798_71711540,erythroid
9:71805630_71806131,endothelium
9:94483338_94484004,somitic_mesoderm
9:95149238_95149775,cardiomyocyte
X:104559552_104560177,mesenchyme
X:11254433_11255070,endothelium
X:112680598_112681202,endothelium
X:115508171_115508722,endothelium
X:96130093_96130615,endothelium
1:134073016_134073721,erythroid
1:157695164_157695673,endothelium
1:161252255_161252942,cardiomyocyte
1:161894486_161895058,erythroid
1:168313000_168313519,cardiomyocyte
1:181372190_181372752,erythroid
1:191055095_191055654,spinalCord
1:191450485_191451048,erythroid
1:191994401_191994933,erythroid
1:193001481_193002099,erythroid
1:58953955_58954482,erythroid
1:62800302_62800803,erythroid
1:64733366_64733923,erythroid
1:80030126_80030694,erythroid
1:93033898_93034427,erythroid
1:94858295_94858963,cardiomyocyte
10:111668625_111669183,mesenchyme
10:111680815_111681352,erythroid
10:117097219_117097733,erythroid
10:117106166_117106716,gut
10:117934742_117935290,somitic_mesoderm
10:127205332_127205872,erythroid
10:21054676_21055285,erythroid
10:21268675_21269251,endothelium
10:22854288_22854823,gut
10:25133519_25134088,erythroid
